country_code,year,mfp_annual_growth_rate_res
AUS,1985,-0.60803
AUS,1986,-0.733171
AUS,1987,1.598455
AUS,1988,-0.696843
AUS,1989,-0.300563
AUS,1990,-0.24324
AUS,1991,0.712584
AUS,1992,2.282605
AUS,1993,0.361978
AUS,1994,0.152663
AUS,1995,2.012949
AUS,1996,2.316946
AUS,1997,2.322403
AUS,1998,2.351387
AUS,1999,0.382497
AUS,2000,0.104617
AUS,2001,2.38085
AUS,2002,0.556915
AUS,2003,1.444126
AUS,2004,-0.807481
AUS,2005,-0.541687
AUS,2006,-0.092934
AUS,2007,0.135219
AUS,2008,1.436071
AUS,2009,-1.439183
AUS,2010,0.308807
AUS,2011,0.22302
AUS,2012,0.799363
AUS,2013,0.687354
AUS,2014,-0.081471
AUS,2015,1.803537
AUS,2016,-0.19349
AUS,2017,0.914059
AUS,2018,-0.027473
AUS,2019,0.308568
AUS,2020,1.366577
AUS,2021,1.164439
AUT,1989,2.267096
AUT,1990,2.067615
AUT,1991,1.732464
AUT,1992,1.160581
AUT,1993,1.373337
AUT,1994,2.784615
AUT,1995,5.509766
AUT,1996,-0.190707
AUT,1997,0.275221
AUT,1998,2.570452
AUT,1999,1.020053
AUT,2000,1.329074
AUT,2001,-0.055296
AUT,2002,0.6434
AUT,2003,-0.207767
AUT,2004,1.224977
AUT,2005,1.624072
AUT,2006,2.066348
AUT,2007,2.022537
AUT,2008,-0.452293
AUT,2009,-2.16249
AUT,2010,0.944331
AUT,2011,0.692385
AUT,2012,0.25628
AUT,2013,-0.289308
AUT,2014,-0.168234
AUT,2015,0.611637
AUT,2016,-0.31935
AUT,2017,0.722947
AUT,2018,0.138031
AUT,2019,-0.586858
AUT,2020,-0.766258
AUT,2021,0.063116
BEL,1985,-0.236981
BEL,1986,0.834895
BEL,1987,1.139429
BEL,1988,2.399156
BEL,1989,1.176571
BEL,1990,0.141588
BEL,1991,1.900098
BEL,1992,1.409036
BEL,1993,0.227024
BEL,1994,2.198795
BEL,1995,-0.691592
BEL,1996,-0.235808
BEL,1997,1.490448
BEL,1998,-0.38353
BEL,1999,0.997774
BEL,2000,-0.020946
BEL,2001,-1.094598
BEL,2002,-0.332729
BEL,2003,-0.212758
BEL,2004,2.137556
BEL,2005,0.510042
BEL,2006,-0.073941
BEL,2007,1.105595
BEL,2008,-1.46267
BEL,2009,-1.87946
BEL,2010,1.032213
BEL,2011,-0.927074
BEL,2012,-0.162611
BEL,2013,0.156081
BEL,2014,0.784392
BEL,2015,0.915071
BEL,2016,-0.36613
BEL,2017,-0.487097
BEL,2018,-0.123367
BEL,2019,0.363221
BEL,2020,0.214773
BEL,2021,-0.045004
CAN,1985,0.856915
CAN,1986,-0.971771
CAN,1987,0.467283
CAN,1988,0.707197
CAN,1989,-0.340806
CAN,1990,-1.060588
CAN,1991,-0.898456
CAN,1992,1.02464
CAN,1993,1.525646
CAN,1994,1.851878
CAN,1995,0.822877
CAN,1996,-0.576627
CAN,1997,1.233129
CAN,1998,1.220608
CAN,1999,2.015868
CAN,2000,2.444156
CAN,2001,0.499402
CAN,2002,1.094486
CAN,2003,-0.304045
CAN,2004,0.357848
CAN,2005,1.203114
CAN,2006,0.35656
CAN,2007,-0.620584
CAN,2008,-0.969719
CAN,2009,-1.0838
CAN,2010,0.849155
CAN,2011,1.312142
CAN,2012,-0.37105900000000003
CAN,2013,0.926701
CAN,2014,2.083694
CAN,2015,-0.489114
CAN,2016,0.406248
CAN,2017,1.523199
CAN,2018,0.398361
CAN,2019,0.424405
CAN,2020,3.460181
CAN,2021,-2.651657
DNK,1985,1.439296
DNK,1986,1.216548
DNK,1987,-0.079832
DNK,1988,0.101479
DNK,1989,0.26204
DNK,1990,1.182445
DNK,1991,0.999298
DNK,1992,0.699086
DNK,1993,0.351797
DNK,1994,4.757727
DNK,1995,0.65308
DNK,1996,1.217151
DNK,1997,-0.072144
DNK,1998,-0.998203
DNK,1999,0.130036
DNK,2000,1.347865
DNK,2001,-1.213643
DNK,2002,-0.386928
DNK,2003,0.318357
DNK,2004,2.01372
DNK,2005,0.7117
DNK,2006,0.823502
DNK,2007,-0.67897
DNK,2008,-2.239138
DNK,2009,-2.866895
DNK,2010,2.618414
DNK,2011,0.260897
DNK,2012,0.970602
DNK,2013,0.388338
DNK,2014,1.112309
DNK,2015,1.167014
DNK,2016,1.084126
DNK,2017,1.463748
DNK,2018,1.4162
DNK,2019,0.422266
DNK,2020,-0.37771
DNK,2021,1.525704
FIN,1985,2.312728
FIN,1986,2.646727
FIN,1987,1.281613
FIN,1988,3.40004
FIN,1989,2.693016
FIN,1990,0.642647
FIN,1991,-2.050701
FIN,1992,0.81598
FIN,1993,3.080133
FIN,1994,3.897188
FIN,1995,1.838849
FIN,1996,1.899022
FIN,1997,3.17868
FIN,1998,3.401966
FIN,1999,1.886063
FIN,2000,3.719166
FIN,2001,1.235802
FIN,2002,0.545061
FIN,2003,1.357915
FIN,2004,2.850071
FIN,2005,1.439742
FIN,2006,2.165479
FIN,2007,2.841096
FIN,2008,-1.494582
FIN,2009,-6.111769
FIN,2010,2.942349
FIN,2011,1.315082
FIN,2012,-1.873515
FIN,2013,-0.153909
FIN,2014,-0.136037
FIN,2015,0.605036
FIN,2016,2.208902
FIN,2017,2.36074
FIN,2018,-0.967739
FIN,2019,-0.085247
FIN,2020,-0.63456
FIN,2021,0.85629
FRA,1985,2.523175
FRA,1986,1.291963
FRA,1987,0.3764
FRA,1988,2.404523
FRA,1989,2.445185
FRA,1990,1.184852
FRA,1991,-0.003636
FRA,1992,1.061812
FRA,1993,-0.340727
FRA,1994,1.28482
FRA,1995,1.542524
FRA,1996,0.314595
FRA,1997,0.934799
FRA,1998,1.685795
FRA,1999,0.749972
FRA,2000,1.747435
FRA,2001,0.716149
FRA,2002,1.544229
FRA,2003,-0.133275
FRA,2004,0.79245
FRA,2005,0.351365
FRA,2006,1.6891370000000001
FRA,2007,-0.642045
FRA,2008,-1.301958
FRA,2009,-2.003182
FRA,2010,0.89962
FRA,2011,0.748562
FRA,2012,-0.268625
FRA,2013,0.594054
FRA,2014,0.421814
FRA,2015,0.317589
FRA,2016,-0.111713
FRA,2017,1.462779
FRA,2018,0.073992
FRA,2019,0.03498
FRA,2020,-2.408889
FRA,2021,-0.039312
DEU,1985,1.487147
DEU,1986,0.903417
DEU,1987,0.615502
DEU,1988,1.984798
DEU,1989,2.656427
DEU,1990,2.908591
DEU,1991,2.747936
DEU,1992,1.331462
DEU,1993,0.436431
DEU,1994,1.839307
DEU,1995,0.887138
DEU,1996,0.793635
DEU,1997,1.601185
DEU,1998,0.528546
DEU,1999,0.465932
DEU,2000,1.612787
DEU,2001,1.424645
DEU,2002,0.017995
DEU,2003,-0.063064
DEU,2004,0.633889
DEU,2005,0.900672
DEU,2006,1.5984
DEU,2007,1.014054
DEU,2008,-0.342759
DEU,2009,-4.066906
DEU,2010,2.415872
DEU,2011,2.454602
DEU,2012,0.222315
DEU,2013,0.185885
DEU,2014,1.016825
DEU,2015,0.374308
DEU,2016,1.150906
DEU,2017,1.552372
DEU,2018,-0.062531
DEU,2019,0.350044
DEU,2020,-0.455111
DEU,2021,1.035986
IRL,1985,2.34982
IRL,1986,-1.812261
IRL,1987,4.35618
IRL,1988,4.136994
IRL,1989,4.776299
IRL,1990,4.371312
IRL,1991,2.945729
IRL,1992,4.043969
IRL,1993,2.067895
IRL,1994,2.452171
IRL,1995,4.726633
IRL,1996,3.395538
IRL,1997,6.053492
IRL,1998,1.612489
IRL,1999,3.51371
IRL,2000,4.140676
IRL,2001,1.321877
IRL,2002,3.535585
IRL,2003,0.504763
IRL,2004,2.692616
IRL,2005,-0.461633
IRL,2006,-0.533461
IRL,2007,0.426169
IRL,2008,-5.010227
IRL,2009,0.030338
IRL,2010,7.381863
IRL,2011,0.657868
IRL,2012,-1.258346
IRL,2013,-2.908313
IRL,2014,4.249124
IRL,2016,-5.374574
IRL,2017,2.622706
IRL,2018,3.826342
IRL,2019,-5.168375
IRL,2020,5.017629
IRL,2021,8.50786
ITA,1985,1.221649
ITA,1986,0.880614
ITA,1987,1.03821
ITA,1988,1.89592
ITA,1989,2.244815
ITA,1990,0.121334
ITA,1991,-0.542972
ITA,1992,0.415737
ITA,1993,0.675556
ITA,1994,3.041009
ITA,1995,2.192136
ITA,1996,-0.377246
ITA,1997,0.98559
ITA,1998,-0.381439
ITA,1999,-0.041382
ITA,2000,1.968967
ITA,2001,-0.047953
ITA,2002,-1.554562
ITA,2003,-1.317154
ITA,2004,0.249614
ITA,2005,-0.159188
ITA,2006,-0.389918
ITA,2007,-0.389988
ITA,2008,-1.273659
ITA,2009,-3.301808
ITA,2010,1.734964
ITA,2011,0.396626
ITA,2012,-1.402412
ITA,2013,-0.027719
ITA,2014,0.044111
ITA,2015,0.226499
ITA,2016,0.036966
ITA,2017,0.802494
ITA,2018,0.102575
ITA,2019,0.35067
ITA,2020,-0.540816
ITA,2021,0.78465
JPN,1985,3.343563
JPN,1986,0.931064
JPN,1987,2.494018
JPN,1988,3.769269
JPN,1989,2.418024
JPN,1990,2.842156
JPN,1991,1.15367
JPN,1992,-0.447156
JPN,1993,0.008567
JPN,1994,0.018668
JPN,1995,1.573011
JPN,1996,1.223106
JPN,1997,0.040797
JPN,1998,-0.927859
JPN,1999,0.525974
JPN,2000,1.64386
JPN,2001,0.060227
JPN,2002,0.426802
JPN,2003,0.799971
JPN,2004,1.665352
JPN,2005,0.951025
JPN,2006,-0.059517
JPN,2007,0.378957
JPN,2008,-1.06157
JPN,2009,-2.941543
JPN,2010,3.260541
JPN,2011,0.362265
JPN,2012,1.046984
JPN,2013,1.961779
JPN,2014,-0.079551
JPN,2015,1.5128
JPN,2016,0.0804
JPN,2017,0.894836
JPN,2018,0.295866
JPN,2019,0.392109
JPN,2020,-2.441166
KOR,1990,5.750934
KOR,1991,5.503134
KOR,1992,2.532154
KOR,1993,2.751757
KOR,1994,4.056494
KOR,1995,3.840811
KOR,1996,3.465793
KOR,1997,3.889817
KOR,1998,0.809136
KOR,1999,7.311485
KOR,2000,2.487049
KOR,2001,1.540566
KOR,2002,4.68606
KOR,2003,2.48398
KOR,2004,3.091656
KOR,2005,3.082357
KOR,2006,2.958597
KOR,2007,4.53197
KOR,2008,3.534109
KOR,2009,1.564445
KOR,2010,4.646794
KOR,2011,1.639372
KOR,2012,0.265289
KOR,2013,1.135071
KOR,2014,1.17048
KOR,2015,0.451057
KOR,2016,1.504317
KOR,2017,2.577885
KOR,2018,2.268977
KOR,2019,1.258427
KOR,2020,0.924124
KOR,2021,1.704254
NLD,1985,1.040944
NLD,1986,0.721761
NLD,1987,0.435593
NLD,1988,1.282546
NLD,1989,1.56739
NLD,1990,1.02367
NLD,1991,0.492155
NLD,1992,-0.587886
NLD,1993,0.783047
NLD,1994,1.425952
NLD,1995,-0.892331
NLD,1996,0.384797
NLD,1997,1.796229
NLD,1998,1.767357
NLD,1999,1.475975
NLD,2000,2.182869
NLD,2001,0.294757
NLD,2002,-0.106123
NLD,2003,0.40039
NLD,2004,1.161131
NLD,2005,1.580574
NLD,2006,1.135952
NLD,2007,0.2498
NLD,2008,0.120549
NLD,2009,-3.168461
NLD,2010,1.445383
NLD,2011,0.382519
NLD,2012,-0.802986
NLD,2013,-0.062534
NLD,2014,0.60575
NLD,2015,-0.26082
NLD,2016,0.053753
NLD,2017,0.822421
NLD,2018,0.074235
NLD,2019,-0.422593
NLD,2020,-2.188284
NLD,2021,1.902413
NZL,1987,-0.147124
NZL,1988,3.07736
NZL,1989,1.674378
NZL,1990,1.50941
NZL,1991,-2.132767
NZL,1992,2.491235
NZL,1993,2.907652
NZL,1994,0.842838
NZL,1995,0.622352
NZL,1996,0.079451
NZL,1997,2.037955
NZL,1998,-1.976224
NZL,1999,1.065635
NZL,2000,1.508657
NZL,2001,1.10776
NZL,2002,1.590417
NZL,2003,1.019171
NZL,2004,-1.082946
NZL,2005,-0.973637
NZL,2006,0.211045
NZL,2007,2.25857
NZL,2008,-3.888022
NZL,2009,3.342918
NZL,2010,-1.418112
NZL,2011,1.021633
NZL,2012,2.330684
NZL,2013,-2.108151
NZL,2014,-0.292877
NZL,2015,1.908103
NZL,2016,-0.719882
NZL,2017,0.185464
NZL,2018,1.702379
NZL,2019,-0.945548
NZL,2020,-3.97e-4
NZL,2021,1.073758
PRT,1985,3.03347
PRT,1986,3.934401
PRT,1987,3.036261
PRT,1988,4.62811
PRT,1989,3.081138
PRT,1990,1.61543
PRT,1991,3.474974
PRT,1992,1.483192
PRT,1993,-1.61826
PRT,1994,-0.382882
PRT,1995,0.964207
PRT,1996,0.97636
PRT,1997,1.127474
PRT,1998,0.177569
PRT,1999,0.748879
PRT,2000,-0.152835
PRT,2001,-0.428952
PRT,2002,-0.714805
PRT,2003,-1.187435
PRT,2004,0.842241
PRT,2005,-0.112354
PRT,2006,0.65732
PRT,2007,0.567913
PRT,2008,-0.733906
PRT,2009,-2.217531
PRT,2010,1.613217
PRT,2011,-0.145326
PRT,2012,-0.923711
PRT,2013,0.493584
PRT,2014,-0.687365
PRT,2015,0.236296
PRT,2016,0.333994
PRT,2017,1.05096
PRT,2018,0.07938
PRT,2019,1.126374
PRT,2020,-2.043349
ESP,1985,2.848579
ESP,1986,0.98475
ESP,1987,1.133969
ESP,1988,1.25365
ESP,1989,1.034278
ESP,1990,-0.648629
ESP,1991,-0.11581
ESP,1992,1.248846
ESP,1993,0.821845
ESP,1994,1.991162
ESP,1995,0.34205
ESP,1996,0.492521
ESP,1997,-0.360345
ESP,1998,-0.624421
ESP,1999,-0.656576
ESP,2000,0.167599
ESP,2001,-0.289911
ESP,2002,-0.481971
ESP,2003,-0.362898
ESP,2004,-0.312154
ESP,2005,-0.167079
ESP,2006,0.001982
ESP,2007,0.20235
ESP,2008,-0.97128
ESP,2009,-0.256946
ESP,2010,0.876885
ESP,2011,-0.011417
ESP,2012,-0.26782
ESP,2013,0.025753
ESP,2014,0.172636
ESP,2015,1.14995
ESP,2016,0.667519
ESP,2017,0.929364
ESP,2018,-0.017095
ESP,2019,0.484925
ESP,2020,-3.648186
SWE,1985,-0.301896
SWE,1986,0.853779
SWE,1987,0.737632
SWE,1988,-0.913474
SWE,1989,-0.149061
SWE,1990,-1.305258
SWE,1991,-0.691082
SWE,1992,0.268252
SWE,1993,-0.049678
SWE,1994,2.004251
SWE,1995,1.312041
SWE,1996,0.395282
SWE,1997,2.489839
SWE,1998,1.549039
SWE,1999,0.632528
SWE,2000,2.016595
SWE,2001,-0.484142
SWE,2002,2.10232
SWE,2003,2.116732
SWE,2004,2.581339
SWE,2005,1.592531
SWE,2006,2.136695
SWE,2007,-0.007848
SWE,2008,-2.515037
SWE,2009,-2.847551
SWE,2010,3.563408
SWE,2011,0.719562
SWE,2012,-1.229932
SWE,2013,0.251046
SWE,2014,0.880442
SWE,2015,2.26446
SWE,2016,-0.761459
SWE,2017,0.207013
SWE,2018,-0.170092
SWE,2019,1.32688
SWE,2020,-0.891851
SWE,2021,1.99762
CHE,1992,-0.72992
CHE,1993,-0.565843
CHE,1994,-0.238464
CHE,1995,0.131922
CHE,1996,0.452851
CHE,1997,1.456153
CHE,1998,0.17312
CHE,1999,-1.456939
CHE,2000,1.839389
CHE,2001,0.674958
CHE,2002,-0.958595
CHE,2003,-1.347391
CHE,2004,0.139748
CHE,2005,1.360533
CHE,2006,1.714832
CHE,2007,1.071317
CHE,2008,0.196474
CHE,2009,-3.17309
CHE,2010,2.046662
CHE,2011,-0.59951
CHE,2012,-0.250265
CHE,2013,1.032266
CHE,2014,0.648696
CHE,2015,-0.711525
CHE,2016,0.371111
CHE,2017,0.761941
CHE,2018,1.823242
CHE,2019,0.151942
CHE,2020,-0.278579
CHE,2021,1.527221
GBR,1985,0.969924
GBR,1986,1.875418
GBR,1987,3.004383
GBR,1988,-0.103626
GBR,1989,-0.516178
GBR,1990,-0.565236
GBR,1991,-0.426082
GBR,1992,1.779213
GBR,1993,1.966099
GBR,1994,1.379049
GBR,1995,0.27248
GBR,1996,0.265069
GBR,1997,2.815157
GBR,1998,2.175363
GBR,1999,1.955072
GBR,2000,3.14039
GBR,2001,0.595464
GBR,2002,1.478791
GBR,2003,2.206464
GBR,2004,0.977085
GBR,2005,0.645585
GBR,2006,1.155519
GBR,2007,0.967387
GBR,2008,-0.627325
GBR,2009,-3.437848
GBR,2010,2.024335
GBR,2011,-0.336426
GBR,2012,-0.766137
GBR,2013,0.2238
GBR,2014,0.298844
GBR,2015,1.293405
GBR,2016,-0.454038
GBR,2017,1.329014
GBR,2018,0.165852
GBR,2019,0.169135
GBR,2020,-2.313691
GBR,2021,-0.082925
USA,1985,0.975118
USA,1986,1.238229
USA,1987,0.228399
USA,1988,0.78668
USA,1989,0.435457
USA,1990,0.666502
USA,1991,0.031023
USA,1992,2.561176
USA,1993,0.161483
USA,1994,0.790765
USA,1995,-0.129126
USA,1996,1.665278
USA,1997,0.859565
USA,1998,1.312172
USA,1999,1.786441
USA,2000,1.503881
USA,2001,0.705804
USA,2002,1.616115
USA,2003,2.125157
USA,2004,1.991464
USA,2005,1.419671
USA,2006,0.326555
USA,2007,0.513791
USA,2008,0.098244
USA,2009,1.083466
USA,2010,2.01038
USA,2011,-0.217772
USA,2012,0.15086
USA,2013,0.075356
USA,2014,0.147509
USA,2015,0.443665
USA,2016,0.018943
USA,2017,0.580867
USA,2018,0.821393
USA,2019,0.6943
USA,2020,1.011664
USA,2021,1.601869
GRC,1990,-0.746807
GRC,1991,2.687667
GRC,1992,-1.99606
GRC,1993,-3.535831
GRC,1994,1.181266
GRC,1995,1.362999
GRC,1996,2.340591
GRC,1997,3.623319
GRC,1998,-1.020507
GRC,1999,1.522954
GRC,2000,1.763869
GRC,2001,2.244093
GRC,2002,0.69567
GRC,2003,2.920524
GRC,2004,1.988168
GRC,2005,-3.055389
GRC,2006,3.067464
GRC,2007,0.952257
GRC,2008,-2.657721
GRC,2009,-4.2508
GRC,2010,-2.377777
GRC,2011,-8.190217
GRC,2012,-4.673156
GRC,2013,-1.630706
GRC,2014,0.761586
GRC,2015,2.256652
GRC,2016,-1.981677
GRC,2017,1.634778
GRC,2018,1.001182
GRC,2019,1.577618
LUX,1996,-0.418792
LUX,1997,0.965672
LUX,1998,1.851087
LUX,1999,2.535694
LUX,2000,0.788629
LUX,2001,-2.367196
LUX,2002,0.244769
LUX,2003,0.22426
LUX,2004,1.276252
LUX,2005,0.514671
LUX,2006,2.089876
LUX,2007,2.620112
LUX,2008,-5.244168
LUX,2009,-1.577097
LUX,2010,1.305859
LUX,2011,-2.211367
LUX,2012,-1.052574
LUX,2013,1.176853
LUX,2014,-0.613534
LUX,2015,-0.813194
LUX,2016,1.963629
LUX,2017,-1.682334
LUX,2018,-1.682219
LUX,2019,-0.780439
LUX,2020,1.872805
NOR,1990,2.551836
NOR,1991,3.530521
NOR,1992,3.125339
NOR,1993,2.257892
NOR,1994,3.745352
NOR,1995,2.980337
NOR,1996,3.003227
NOR,1997,2.162635
NOR,1998,-0.624452
NOR,1999,0.14228
NOR,2000,2.478449
NOR,2001,2.122872
NOR,2002,0.981454
NOR,2003,1.703828
NOR,2004,1.42646
NOR,2005,0.4169
NOR,2006,-1.132696
NOR,2007,-1.982294
NOR,2008,-3.698017
NOR,2009,-1.355699
NOR,2010,-0.413002
NOR,2011,-1.172009
NOR,2012,0.588001
NOR,2013,-0.068697
NOR,2014,0.352991
NOR,2015,1.013837
NOR,2016,0.07149
NOR,2017,1.28845
NOR,2018,-0.830298
NOR,2019,-1.337949
NOR,2020,-0.006398
ISR,1996,-0.041976
ISR,1997,-0.282011
ISR,1998,1.28703
ISR,1999,-1.288112
ISR,2000,3.096182
ISR,2001,-0.426719
ISR,2002,-2.392801
ISR,2003,0.499945
ISR,2004,3.7102
ISR,2005,1.000137
ISR,2006,2.633126
ISR,2007,0.877381
ISR,2008,-0.595716
ISR,2009,-1.590125
ISR,2010,2.606633
ISR,2011,2.467897
ISR,2012,-0.581901
ISR,2013,1.796776
ISR,2014,1.507923
ISR,2015,0.095219
ISR,2016,0.791934
ISR,2017,1.430347
ISR,2018,1.754145
ISR,2019,2.184743
ISR,2020,3.251533
ISR,2021,1.619678
